index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
alpha_g['afrobeat'],-3.3485992765994905,0.0,-3.6572793213477426,-3.0464307681264042,0.0,0.0,bernoulli
"beta_g['afrobeat','danceability']",0.18467751148382502,0.14523068672080655,-0.09294586469613596,0.4550089891176427,0.0,0.0,bernoulli
"beta_g['afrobeat','energy']",-0.4389171234182627,0.16558142222185274,-0.7454446204008585,-0.13380417369765213,0.0,0.0,bernoulli
"beta_g['afrobeat','loudness']",0.14053234821575608,0.2426884123836082,-0.3325382489295747,0.5915585104010438,0.0,0.0,bernoulli
"beta_g['afrobeat','speechiness']",-0.10487549700100889,0.13459152366373164,-0.35781451548433385,0.15280520763190344,0.0,0.0,bernoulli
"beta_g['afrobeat','acousticness']",-0.015425590106970173,0.17091196878993928,-0.34937166141070186,0.30997779996827196,0.0,0.0,bernoulli
"beta_g['afrobeat','instrumentalness']",0.2761234450365389,0.11763439153928264,0.05364580787932063,0.4992733413725606,0.0,0.0,bernoulli
"beta_g['afrobeat','liveness']",-0.08350741048061985,0.10584766769220776,-0.2831417271736327,0.11751313689225211,0.0,0.0,bernoulli
"beta_g['afrobeat','valence']",-0.2005472867484367,0.13022027624385382,-0.45431043942919597,0.03880392408132874,0.0,0.0,bernoulli
"beta_g['afrobeat','tempo']",0.006171402348960361,0.04492016539033487,-0.07677343552062164,0.09165339882491466,0.0,0.0,bernoulli
"beta_g['afrobeat','explicit']",0.14262372231676398,0.17689973387665886,-0.1975762819800772,0.4698782730544029,0.0,0.0,bernoulli
alpha_g['alt-rock'],-0.7251682981010188,0.0,-0.8475504205036347,-0.5961338115099514,0.0,0.0,bernoulli
"beta_g['alt-rock','danceability']",0.09674273497216263,0.07791040254567136,-0.0489395541878429,0.24531020238317533,0.0,0.0,bernoulli
"beta_g['alt-rock','energy']",-0.4874207234315387,0.07778962761848347,-0.6401870206943607,-0.3432021533681691,0.0,0.0,bernoulli
"beta_g['alt-rock','loudness']",0.5055527603085039,0.10785655658992288,0.2942991943476582,0.70757027619246,0.0,0.0,bernoulli
"beta_g['alt-rock','speechiness']",-0.08436181178476432,0.10339104753750589,-0.27135196795435684,0.10424291317277273,0.0,0.0,bernoulli
