artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Guns N' Roses,24,64.29166666666667,71.0,0.5,1.7916666666666667,1.0,0.37366666666666665,0.82775,-7.389083333333333,0.06634583333333334,0.11901967083333333,0.13401500958333334,0.20879583333333332,0.36070833333333335,124.85858333333334
Arjun Kanungo,5,64.2,64.0,0.0,1.4,1.6,0.6447999999999999,0.5834,-8.869399999999999,0.05656,0.5139199999999999,6.4900000000000005e-06,0.1492,0.3958,115.4136
Foo Fighters,23,64.17391304347827,64.0,0.0,1.5217391304347827,1.0,0.4601304347826087,0.8019130434782609,-5.387652173913043,0.05001739130434783,0.02825756956521739,0.0540119652173913,0.2285391304347826,0.4075217391304348,137.05339130434783
Falling In Reverse,14,64.14285714285714,63.5,0.7142857142857143,1.8571428571428572,1.0,0.46885714285714286,0.8897142857142857,-3.614785714285714,0.12211428571428572,0.03972950000000001,6.35e-07,0.2181,0.47235714285714286,151.4137142857143
Alan Walker,43,64.11627906976744,64.0,0.06976744186046512,1.9534883720930232,2.186046511627907,0.6054186046511628,0.7112790697674419,-5.420674418604651,0.05532790697674419,0.08655953488372092,0.025413366511627906,0.18205813953488373,0.3207325581395349,129.50493023255814
Anuv Jain,10,64.1,63.0,0.0,4.0,1.0,0.5526,0.2605,-11.7118,0.034710000000000005,0.8271000000000001,8.917e-06,0.10758000000000001,0.3685,113.7885
Nicky Jam,10,64.1,68.5,0.0,2.6,1.8,0.6916,0.7022,-4.8385,0.05266,0.21640699999999996,0.00015076,0.19301000000000001,0.6740999999999999,147.29969999999997
Sade,11,64.0909090909091,64.0,0.0,1.0,1.0,0.7253636363636363,0.5648181818181818,-8.677181818181818,0.035436363636363634,0.27488181818181817,0.050617754545454544,0.08711818181818182,0.8330909090909091,116.51827272727273
YOASOBI,31,63.774193548387096,64.0,0.0,1.0,1.032258064516129,0.6654838709677419,0.8343870967741935,-4.173064516129033,0.05146129032258064,0.14217612903225807,0.0001611251612903226,0.224458064516129,0.7156129032258065,124.61832258064517
Judas Priest,6,63.666666666666664,65.5,0.0,1.3333333333333333,1.0,0.4575,0.7936666666666666,-6.139500000000001,0.06735000000000001,0.015935833333333333,0.014124638333333333,0.14426666666666668,0.44849999999999995,132.7528333333333
Sara Bareilles,8,63.625,65.0,0.0,1.0,1.125,0.49975,0.533625,-7.258125,0.0382,0.3649775,0.000836375,0.1127375,0.491125,141.33275
