artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Smokey Robinson & The Miracles,11,0.0,0.0,0.0,2.0,1.0909090909090908,0.5183636363636364,0.5718181818181818,-8.910818181818183,0.03144545454545455,0.3687090909090909,0.00021672727272727276,0.1895090909090909,0.6845454545454545,109.13309090909091
Gerald Barry,5,0.0,0.0,0.0,1.0,4.0,0.5018,0.219,-16.5118,0.08313999999999999,0.9772000000000001,0.28578000000000003,0.26803999999999994,0.29500000000000004,105.04639999999999
Peggy Lee,44,0.022727272727272728,0.0,0.0,1.8636363636363635,1.0,0.43695454545454543,0.34602272727272726,-11.69434090909091,0.04647954545454546,0.7695909090909091,3.254636363636364e-05,0.1302681818181818,0.5155227272727273,148.7697272727273
Vladimir Nechaev,30,0.03333333333333333,0.0,0.0,1.0,1.2666666666666666,0.43296666666666667,0.3575333333333333,-10.984433333333333,0.04382333333333333,0.9529333333333334,0.051156252,0.31821666666666665,0.5149,110.24600000000001
Vince Guaraldi Trio,28,0.03571428571428571,0.0,0.0,1.0,1.0,0.42910714285714285,0.20389285714285715,-17.81475,0.034075,0.9056071428571428,0.38806576750000005,0.1262,0.29559285714285716,95.27792857142857
Alireza Mashayekhi,66,0.045454545454545456,0.0,0.0,1.0,2.6363636363636362,0.30302575757575756,0.19559109696969698,-19.743954545454542,0.1447878787878788,0.8319363636363637,0.6110912803030304,0.1461469696969697,0.12126818181818182,102.048
Spuntic,35,0.05714285714285714,0.0,0.0,1.0,1.0,0.1944857142857143,0.2681,-20.221885714285712,0.048871428571428566,0.7154262857142857,0.7675232399999999,0.12060285714285714,0.05697142857142857,100.75531428571429
Angband,16,0.0625,0.0,0.0,1.0,1.0,0.4365625,0.86625,-5.607125,0.12591875,0.00388651375,0.059777063125,0.1815625,0.3121375,129.2635
Chris Janson,16,0.0625,0.0,0.0,1.0,1.25,0.406125,0.598125,-6.0974375,0.0385125,0.41269374999999997,7.05875e-06,0.15885,0.43925000000000003,117.9219375
Robert Schumann,30,0.06666666666666667,0.0,0.0,2.0,2.0,0.43506666666666666,0.109732,-25.534733333333335,0.04631,0.9900333333333333,0.8788333333333334,0.12448,0.32739,97.96133333333334
